MCEID;CENTREID;MCE_TYPE;USE_RAND36;USE_HONOS;USE_HONOSCA;MCE_STATUS;MCE_UPDATEDBY;MCE_UPDATED;HAS_END_REG;CONTROL_DATE;MCE_COMMENT;PATREG_COMPLETE;MCE_COMPLETE;THERREG_COMPLETE;PATIENT_ID;SSN;LASTNAME;FIRSTNAME;GENDER;AGE;PB_STATUS;PB_UPDATED;PB_UPDATEDBY;PB_COMMENT;EDEQ60_STATUS;EDEQ60_UPDATED;EDEQ60_UPDATEDBY;EDEQ60_COMMENT;SDQ_STATUS;SDQ_UPDATED;SDQ_UPDATEDBY;SDQ_COMMENT;SDQPARENT_STATUS;SDQPARENT_UPDATED;SDQPARENT_UPDATEDBY;SDQPARENT_COMMENT;HONOS_STATUS;HONOS_UPDATED;HONOS_UPDATEDBY;HONOS_COMMENT;HONOSCA_STATUS;HONOSCA_UPDATED;HONOSCA_UPDATEDBY;HONOSCA_COMMENT;CIA30_STATUS;CIA30_UPDATED;CIA30_UPDATEDBY;CIA30_COMMENT;RAND36_STATUS;RAND36_UPDATED;RAND36_UPDATEDBY;RAND36_COMMENT;SCL90_STATUS;SCL90_UPDATED;SCL90_UPDATEDBY;SCL90_COMMENT;DIAG_STATUS;DIAG_UPDATED;DIAG_UPDATEDBY;DIAG_COMMENT;BUPDIAG_STATUS;BUPDIAG_UPDATED;BUPDIAG_UPDATEDBY;BUPDIAG_COMMENT;MEDINF_STATUS;MEDINF_UPDATED;MEDINF_UPDATEDBY;MEDINF_COMMENT;PASOPP_STATUS;PASOPP_UPDATED;PASOPP_UPDATEDBY;PASOPP_COMMENT;PATEVAL_STATUS;PATEVAL_UPDATED;PATEVAL_UPDATEDBY;PATEVAL_COMMENT;KIDSCREEN_STATUS;KIDSCREEN_UPDATED;KIDSCREEN_UPDATEDBY;KIDSCREEN_COMMENT;INTERVENTION_STATUS;INTERVENTION_UPDATED;INTERVENTION_UPDATEDBY;INTERVENTION_COMMENT
8;TESTNO;1;TRUE;TRUE;TRUE;1;LC;'2016-04-25 13:49:15';0;'2016-04-21';;1;0;0;6;Jxv8QFswZtg=;pPl8T8NAaWjvneAIqG398g==;5Y7E+mElKpY=;1;30;1;'2016-04-26 10:25:45';CC;;1;'2016-04-26 10:33:26';CC;;;;;;;;;;1;'2016-04-26 10:37:08';CC;;;;;;1;'2016-04-26 10:34:15';CC;;1;'2016-04-26 10:30:59';CC;;1;'2016-04-26 10:28:23';CC;;0;'2016-04-26 10:35:07';CC;;;;;;1;'2016-07-01 15:34:55';LU;;;;;;;;;;;;;;;;;
12;TESTNO;1;TRUE;TRUE;TRUE;1;CC;'2016-04-27 11:25:19';0;'2016-04-22';;1;0;0;8;wTcd9ng7z0c=;8iClNhCEqKckgnpV9yfKmg==;VJ2u/nYZxao=;2;20;1;'2016-04-29 09:10:23';CC;;1;'2016-04-29 09:09:40';CC;;;;;;;;;;1;'2016-04-29 09:13:48';CC;;;;;;1;'2016-04-29 09:11:07';CC;;1;'2016-04-29 09:06:22';CC;;1;'2016-04-29 09:03:28';CC;;0;'2016-05-25 14:10:21';LC;;;;;;0;'2016-04-29 09:13:03';CC;;;;;;;;;;;;;;;;;
13;TESTNO;1;TRUE;TRUE;TRUE;1;LC;'2016-04-29 08:21:39';0;'2016-03-01';;1;0;0;9;aiZjxdZHc3k=;1JktwqIhr4xokvLNBy19xg==;JCG6AFQBvBwTbmDIy9M2dg==;1;43;1;'2016-04-29 08:22:16';LC;;1;'2016-04-29 08:23:42';LC;;;;;;;;;;1;'2016-04-29 08:25:16';LC;;;;;;1;'2016-04-29 08:23:55';LC;0;1;'2016-04-29 08:23:06';LC;;1;'2016-04-29 08:22:43';LC;1;0;'2016-04-29 08:24:25';LC;;;;;;0;'2016-04-29 08:24:53';LC;;;;;;;;;;;;;;;;;
14;TESTNO;3;TRUE;TRUE;TRUE;1;CC;'2016-04-29 09:29:26';1;'2016-01-12';;1;1;1;10;gCXECsyb448=;EB1jI9GFVe8=;XxDf42HHWrk=;2;21;1;'2016-04-29 09:34:31';CC;;1;'2016-04-29 09:44:02';CC;;;;;;;;;;1;'2016-04-29 09:47:06';CC;;;;;;1;'2016-04-29 09:45:23';CC;;1;'2016-04-29 09:40:10';CC;;1;'2016-04-29 09:38:04';CC;;;;;;;;;;1;'2016-05-25 15:33:33';LU;;;;;;;;;;;;;;;;;
15;TESTNO;5;TRUE;TRUE;TRUE;0;CC;'2016-04-29 09:48:05';0;'2016-04-27';;0;-1;-1;10;gCXECsyb448=;EB1jI9GFVe8=;XxDf42HHWrk=;2;22;;;;;1;'2016-04-29 10:03:56';CC;;;;;;;;;;-1;;;;;;;;1;'2016-04-29 09:56:15';CC;;1;'2016-04-29 09:53:04';CC;;1;'2016-04-29 09:50:44';CC;;0;'2016-04-29 10:02:09';CC;;;;;;0;'2016-04-29 10:06:09';CC;;1;'2016-04-29 09:59:23';CC;;1;'2016-05-25 15:33:05';LU;;;;;;1;'2016-07-11 09:44:41';LC;Skjemaet er eksempel i NSP-163. 
16;TESTNO2;3;TRUE;;;1;CC2;'2016-04-29 10:12:43';1;'2016-01-13';;1;1;1;11;j0M9mReRYps=;RlZ2OELi9GnzpWVcwH864g==;TWQ9tRyh4qVJLX+kIogVjwHYmTd20SYk;2;24;1;'2016-04-29 10:16:15';CC2;;1;'2016-04-29 10:24:47';CC2;;;;;;;;;;;;;;;;;;1;'2016-04-29 10:26:30';CC2;;1;'2016-04-29 10:22:23';CC2;;1;'2016-04-29 10:19:23';CC2;;;;;;;;;;1;'2016-06-02 13:07:32';LC2;;;;;;;;;;;;;;;;;
17;TESTNO2;5;TRUE;;;0;CC2;'2016-04-29 10:28:46';0;'2016-04-29';;0;-1;-1;11;j0M9mReRYps=;RlZ2OELi9GnzpWVcwH864g==;TWQ9tRyh4qVJLX+kIogVjwHYmTd20SYk;2;24;;;;;1;'2016-04-29 10:34:29';CC2;;;;;;;;;;;;;;;;;;1;'2016-04-29 10:35:01';CC2;;1;'2016-04-29 10:32:18';CC2;;1;'2016-04-29 10:30:19';CC2;;0;'2016-04-29 10:36:39';CC2;;;;;;0;'2016-04-29 10:37:13';CC2;;1;'2016-04-29 10:35:52';CC2;;1;'2016-06-02 13:07:02';LC2;;;;;;-1;;;
19;TESTNO2;1;TRUE;;;1;CC2;'2016-04-29 10:48:54';0;'2016-02-02';;1;1;1;12;5rqOzUSFfGk=;slMNOhnX2PysSPBi6AfQrw==;DtywMBytSR0=;2;30;1;'2016-04-29 10:51:14';CC2;;1;'2016-04-29 11:00:22';CC2;;;;;;;;;;;;;;;;;;1;'2016-04-29 11:01:01';CC2;;1;'2016-04-29 10:57:37';CC2;;1;'2016-04-29 10:55:19';CC2;;1;'2016-07-07 11:28:09';LU2;;;;;;1;'2016-07-07 11:28:19';LU2;;;;;;;;;;;;;;;;;
20;TESTNO2;3;TRUE;;;1;CC2;'2016-04-29 11:09:34';1;'2016-02-25';;1;0;0;13;lLILIZSpTxc=;D/flFFTncACf1cL5wo62AOIHKdizBqGX;zYszFPRcdHobloL+rkkZoA==;2;26;1;'2016-04-29 11:12:17';CC2;;1;'2016-04-29 11:21:58';CC2;;;;;;;;;;;;;;;;;;1;'2016-04-29 11:22:38';CC2;;1;'2016-04-29 11:18:15';CC2;;1;'2016-04-29 11:15:50';CC2;;;;;;;;;;0;'2016-04-29 11:24:27';CC2;;;;;;;;;;;;;;;;;
21;TESTNO2;5;TRUE;;;0;CC2;'2016-04-29 11:25:43';0;'2016-04-29';;-1;-1;-1;13;lLILIZSpTxc=;D/flFFTncACf1cL5wo62AOIHKdizBqGX;zYszFPRcdHobloL+rkkZoA==;2;26;;;;;-1;;;;;;;;;;;;;;;;;;;;0;'2016-06-24 10:43:57';LU2;;-1;;;;1;'2016-04-29 11:28:37';CC2;;0;;;;;;;;-1;;;;-1;;;;0;'2016-06-24 10:43:13';LU2;;;;;;-1;;;
